侩 [U+4FA9]
侮 [U+4FAE]
侯 [U+4FAF]
侵 [U+4FB5]
侶 [U+4FB6]
便 [U+4FBF]
係 [U+4FC2]
促 [U+4FC3]
俄 [U+4FC4]
俊 [U+4FCA]
俏 [U+4FCF]
俐 [U+4FD0]
俗 [U+4FD7]
俘 [U+4FD8]
保 [U+4FDD]
俞 [U+4FDE]
俠 [U+4FE0]
信 [U+4FE1]
俩 [U+4FE9]
俭 [U+4FED]
修 [U+4FEE]
俯 [U+4FEF]
俱 [U+4FF1]
俺 [U+4FFA]
倆 [U+5006]
倉 [U+5009]
個 [U+500B]
倍 [U+500D]
們 [U+5011]
倒 [U+5012]
倔 [U+5014]
倘 [U+5018]
候 [U+5019]
倚 [U+501A]
借 [U+501F]
倡 [U+5021]
倦 [U+5026]
倪 [U+502A]
倫 [U+502B]
债 [U+503A]
值 [U+503C]
倾 [U+503E]
假 [U+5047]
偉 [U+5049]
偏 [U+504F]
做 [U+505A]
停 [U+505C]
健 [U+5065]
側 [U+5074]
偵 [U+5075]
偶 [U+5076]
偷 [U+5077]
偽 [U+507D]
偿 [U+507F]
傀 [U+5080]
傅 [U+5085]
傍 [U+508D]
傑 [U+5091]
傘 [U+5098]
備 [U+5099]
傣 [U+50A3]
储 [U+50A8]
催 [U+50AC]
傭 [U+50AD]
傲 [U+50B2]
傳 [U+50B3]
債 [U+50B5]
傷 [U+50B7]
傻 [U+50BB]
傾 [U+50BE]
僅 [U+50C5]
働 [U+50CD]
像 [U+50CF]
僑 [U+50D1]
僕 [U+50D5]
僚 [U+50DA]
僥 [U+50E5]
僧 [U+50E7]
僳 [U+50F3]
僵 [U+50F5]
價 [U+50F9]
僻 [U+50FB]
儀 [U+5100]
億 [U+5104]
儈 [U+5108]
儉 [U+5109]
儒 [U+5112]
償 [U+511F]
儡 [U+5121]
優 [U+512A]
儲 [U+5132]
儿 [U+513F]
允 [U+5141]
元 [U+5143]
兄 [U+5144]
充 [U+5145]
兆 [U+5146]
先 [U+5148]
光 [U+5149]
克 [U+514B]
兌 [U+514C]
免 [U+514D]
兑 [U+5151]
兒 [U+5152]
兔 [U+5154]
党 [U+515A]
兜 [U+515C]
兢 [U+5162]
入 [U+5165]
內 [U+5167]
全 [U+5168]
兩 [U+5169]
八 [U+516B]
公 [U+516C]
六 [U+516D]
兰 [U+5170]
共 [U+5171]
关 [U+5173]
兴 [U+5174]
兵 [U+5175]
其 [U+5176]
具 [U+5177]
典 [U+5178]
